[Sun Oct 22 18:00:00 KST 2023] Script started

> product_crawling@1.0.58 update:shop
> ts-node ./home_shopping_update

Start fetching shop list 2023-10-22T09:00:05.105Z
[114/177] Complete schedule_id: 445 https://m.livehs.co.kr/product/detail/338371617 2023-10-22T09:01:52.256Z
[115/177] Complete schedule_id: 446 https://m.livehs.co.kr/product/detail/338360931 2023-10-22T09:01:53.165Z
[116/177] Complete schedule_id: 447 https://m.livehs.co.kr/product/detail/338383198 2023-10-22T09:01:54.050Z
[117/177] Complete schedule_id: 448 https://m.livehs.co.kr/product/detail/338676505 2023-10-22T09:01:54.954Z
[118/177] Complete schedule_id: 449 https://m.livehs.co.kr/product/detail/338383199 2023-10-22T09:01:55.807Z
[119/177] Complete schedule_id: 450 https://m.livehs.co.kr/product/detail/338556067 2023-10-22T09:01:56.636Z
[120/177] Complete schedule_id: 451 https://m.livehs.co.kr/product/detail/338880925 2023-10-22T09:01:57.525Z
[121/177] Complete schedule_id: 452 https://m.livehs.co.kr/product/detail/338372053 2023-10-22T09:01:58.551Z
[122/177] Complete schedule_id: 453 https://m.livehs.co.kr/product/detail/338372054 2023-10-22T09:01:59.582Z
[123/177] Complete schedule_id: 454 https://m.livehs.co.kr/product/detail/338151149 2023-10-22T09:02:00.809Z
[124/177] Complete schedule_id: 455 https://m.livehs.co.kr/product/detail/337840640 2023-10-22T09:02:01.847Z
[125/177] Complete schedule_id: 456 https://m.livehs.co.kr/product/detail/338328900 2023-10-22T09:02:02.854Z
[126/177] Complete schedule_id: 457 https://m.livehs.co.kr/product/detail/338880893 2023-10-22T09:02:03.756Z
[127/177] Complete schedule_id: 458 https://m.livehs.co.kr/product/detail/338676510 2023-10-22T09:02:04.696Z
[128/177] Complete schedule_id: 459 https://m.livehs.co.kr/product/detail/338372072 2023-10-22T09:02:05.609Z
[129/177] Complete schedule_id: 460 https://m.livehs.co.kr/product/detail/338880897 2023-10-22T09:02:06.528Z
[130/177] Complete schedule_id: 461 https://m.livehs.co.kr/product/detail/338880898 2023-10-22T09:02:07.348Z
[131/177] Complete schedule_id: 462 https://m.livehs.co.kr/product/detail/338141153 2023-10-22T09:02:08.383Z
[132/177] Complete schedule_id: 463 https://m.livehs.co.kr/product/detail/338372074 2023-10-22T09:02:09.304Z
[133/177] Complete schedule_id: 464 https://m.livehs.co.kr/product/detail/338880938 2023-10-22T09:02:10.222Z
[134/177] Complete schedule_id: 465 https://m.livehs.co.kr/product/detail/338880903 2023-10-22T09:02:11.152Z
[135/177] Complete schedule_id: 466 https://m.livehs.co.kr/product/detail/338337192 2023-10-22T09:02:12.079Z
[136/177] Complete schedule_id: 467 https://m.livehs.co.kr/product/detail/338880940 2023-10-22T09:02:12.978Z
[137/177] Complete schedule_id: 468 https://m.livehs.co.kr/product/detail/338832038 2023-10-22T09:02:13.906Z
[138/177] Complete schedule_id: 469 https://m.livehs.co.kr/product/detail/338880909 2023-10-22T09:02:14.828Z
[139/177] Complete schedule_id: 470 https://m.livehs.co.kr/product/detail/338556076 2023-10-22T09:02:15.736Z
[140/177] Complete schedule_id: 471 https://m.livehs.co.kr/product/detail/338576799 2023-10-22T09:02:16.663Z
[141/177] Complete schedule_id: 472 https://m.livehs.co.kr/product/detail/338350031 2023-10-22T09:02:17.589Z
[142/177] Complete schedule_id: 473 https://m.livehs.co.kr/product/detail/338350050 2023-10-22T09:02:18.409Z
[143/177] Complete schedule_id: 474 https://m.livehs.co.kr/product/detail/338371992 2023-10-22T09:02:19.339Z
[144/177] Complete schedule_id: 475 https://m.livehs.co.kr/product/detail/338350053 2023-10-22T09:02:20.354Z
[145/177] Complete schedule_id: 476 https://m.livehs.co.kr/product/detail/338525965 2023-10-22T09:02:21.277Z
[146/177] Complete schedule_id: 477 https://m.livehs.co.kr/product/detail/338566241 2023-10-22T09:02:22.417Z
[147/177] Complete schedule_id: 478 https://m.livehs.co.kr/product/detail/338598089 2023-10-22T09:02:23.932Z
[148/177] Complete schedule_id: 479 https://m.livehs.co.kr/product/detail/337903591 2023-10-22T09:02:24.858Z
[149/177] Complete schedule_id: 480 https://m.livehs.co.kr/product/detail/338360886 2023-10-22T09:02:25.794Z
